Date (B.S.),Date (A.D.),Local Time,UTC Time,Latitude,Longitude,Magnitude,Remarks,Epicenter
2065-3-2,2008-06-15,11:00,05:15,29.73,80.96,5,NSC,Darchula
2065-2-21,2008-06-02,11:00,05:15,27.8,85.91,4.1,NSC,Sindhupalchowk
2065-2-8,2008-05-20,11:00,05:15,28.33,83.33,4.3,NSC,Baglung
2065-1-27,2008-05-08,11:00,05:15,27.5,87.52,4.2,NSC,Taplejung
2064-12-5,2008-03-17,11:00,05:15,29.76,81.53,4.6,NSC,Bajhang-Bajura border
2064-11-20,2008-03-02,11:00,05:15,29.69,81.76,4.4,NSC,Humla
2064-11-5,2008-02-16,11:00,05:15,26.8,86.25,4.2,NSC,Siraha
2064-11-3,2008-02-14,11:00,05:15,27.8,86.53,4.1,NSC,Taplejung
2072-5-6,2015-08-23,14:47,09:02,27.87,86.17,5.1,NSC,Dolakha
2072-5-4,2015-08-21,12:21,06:36,27.96,85.48,4,NSC,Nuwakot
2072-5-3,2015-08-20,11:47,06:02,28,85.29,4.6,NSC,Rasuwa
2072-5-2,2015-08-18,04:08,22:23,27.93,86.14,4.8,NSC,Dolakha
2072-4-30,2015-08-15,23:56,18:11,27.71,86.05,4.8,NSC,Dolakha
2072-4-30,2015-08-15,10:10,04:25,27.87,86.08,4.1,NSC,Dolakha
2072-4-29,2015-08-14,18:47,13:02,27.59,85.97,4.3,NSC,Dolakha
2072-11-18,2016-03-01,16:30,10:45,27.79,85.73,4.3,NSC,Sindhupalchowk
2072-11-12,2016-02-24,15:07,09:22,27.8,85.74,5.4,NSC,Sindhupalchok
2072-11-12,2016-02-23,08:45,03:00,27.47,87.15,4.5,NSC,Sankhuwasava
2072-11-9,2016-02-21,23:54,18:09,28.08,84.76,5.5,NSC,Gorkha
2072-11-9,2016-02-20,03:54,22:09,27.86,85.29,4.1,NSC,Nuwakot
2072-11-1,2016-02-13,20:22,14:37,27.81,85.72,4.3,NSC,Sindhupalchowk
2072-10-27,2016-02-10,22:12,16:27,27.84,85.71,4.6,NSC,Sindhupalchowk
2072-10-22,2016-02-05,22:05,16:20,27.95,85.52,5.5,NSC,Sindhupalchowk
2064-10-2,2008-01-15,11:00,05:15,27.37,86.53,4.1,NSC,Okhaldhunga
2072-4-29,2015-08-13,01:49,20:04,27.72,85.2,4,NSC,Kathmandu
2072-4-26,2015-08-11,10:42,04:57,27.7,85.29,4.3,NSC,Kathmandu
2072-4-26,2015-08-10,04:15,22:30,28.14,84.72,4.9,NSC,Gorkha
2072-4-25,2015-08-09,00:21,18:36,30.1,81.85,4,RSC/NSC,Humla
2072-4-24,2015-08-09,07:55,02:10,27.94,85.52,4.1,NSC,Sindupalchok
2072-4-23,2015-08-08,21:25,15:40,27.69,86.26,4.1,NSC,Dolakha
2072-4-23,2015-08-08,06:24,00:39,27.77,85.7,4,NSC,Sindupalchok
2072-4-22,2015-08-07,11:57,06:12,27.5,85.5,4.4,NSC,Kavre
2072-10-13,2016-01-27,20:42,14:57,26.68,86.27,4.2,NSC,Siraha
2072-10-14,2016-01-27,02:27,20:42,27.83,85.83,4.4,NSC,Sindhupalchowk
2072-10-9,2016-01-22,01:07,19:22,28.06,85.09,4.6,NSC,Nuwakot
2072-10-1,2016-01-15,22:59,17:14,27.65,86.23,4.3,NSC,Dolakha
2072-10-1,2016-01-15,18:50,13:05,27.63,86.25,4.1,NSC,Dolakha
2072-9-25,2016-01-09,23:28,17:43,27.48,86.01,4.4,NSC,Ramechhap
2072-9-20,2016-01-04,18:47,13:02,27.75,86.12,4.1,NSC,Dolakha
2072-9-19,2016-01-02,03:15,21:30,28.01,85.8,4.2,NSC,Sindhupalchowk
2072-4-21,2015-08-06,20:36,14:51,27.86,85.76,4.1,NSC,Sindupalchok
2072-4-20,2015-08-05,13:59,08:14,27.64,86.07,4.3,NSC,Dolakha
2072-4-20,2015-08-05,17:38,11:53,27.63,86.07,4.1,NSC,Dolakha
2072-4-16,2015-08-01,07:22,01:37,27.81,85.71,4.2,NSC,Sindupalchok
2072-4-14,2015-07-30,20:18,14:33,27.66,86.09,4.5,NSC/RSC,Dolakha
2072-4-12,2015-07-28,21:23,15:38,27.59,86.17,4.1,NSC,Dolakha
2072-4-12,2015-07-28,18:38,12:53,27.68,86.04,4,NSC,Dolakha
2072-4-12,2015-07-28,09:21,03:36,27.8,85.75,4.1,NSC,Sindupalchok
2072-4-11,2015-07-27,18:23,12:38,27.94,85.48,4.2,NSC,Nuwakot
2072-4-10,2015-07-26,09:30,03:45,27.68,86.22,4.1,NSC,Dolakha
2072-4-10,2015-07-26,10:03,04:18,27.85,85.75,4,NSC,Sindupalchok
2072-4-9,2015-07-25,20:04,14:19,27.66,86,4.5,NSC,Dolakha
2072-4-10,2015-07-25,00:05,18:20,27.61,86.28,4.3,NSC,Dolakha
2072-4-6,2015-07-22,22:14,16:29,27.7,85.32,4.6,NSC/RSC,Kathmandu
2072-4-5,2015-07-21,08:09,02:24,27.86,86.39,4.3,NSC,Dolakha
2072-4-2,2015-07-17,05:09,23:24,28.18,84.74,4,NSC,Gorkha
2072-3-31,2015-07-15,08:14,02:29,29.8,80.73,4.1,RSC,Darchula
2072-3-28,2015-07-13,17:39,11:54,27.63,86.09,4.2,NSC,Dolakha
