Airport,ShortName,Location,Country,Size
Los Andes Airport,LOB,Los Andes,Chile,1
Los Angeles Airport,LSQ,Los Angeles,Chile,1
Canal Balo Airport,ZOS,Osorno,Chile,2
Ovalle Airport,OVL,Ovalle,Chile,1
Porvenir Airport,WPR,Porvenir,Chile,1
Pucon Airport,ZPC,Pucon,Chile,1
Puerto Aisen Airport,WPA,Puerto Aisen,Chile,1
Tepual Airport,PMC,Puerto Montt,Chile,2
Acandi Airport,ACD,Acandi,Colombia,1
Acaricuara Airport,ARF,Acaricuara,Colombia,1
Aguaclara Airport,ACL,Aguaclara,Colombia,1
Amalfi Airport,AFI,Amalfi,Colombia,1
Andes Airport,ADN,Andes,Colombia,1
Alenquer Airport,ALT,Alenquer,Brazil,1
Almenara Airport,AMJ,Almenara,Brazil,1
Alta Floresta Airport,AFL,Alta Floresta,Brazil,1
Altamira Airport,ATM,Altamira,Brazil,1
Alto Parnaiba Airport,APY,Alto Parnaiba,Brazil,1
Anapolis Airport,APS,Anapolis,Brazil,1
Apucarana Airport,APU,Apucarana,Brazil,1
Aracaju Airport,AJU,Aracaju,Brazil,2
Puerto Suarez Airport,PSZ,Puerto Suarez,Bolivia,1
Reyes Airport,REY,Reyes,Bolivia,1
Gen Buech Airport,RIB,Riberalta,Bolivia,1
Robore Airport,RBO,Robore,Bolivia,1
Rurrenabaque Airport,RBQ,Rurrenabaque,Bolivia,1
Capitan G Q Guardia Airport,SRJ,San Borja,Bolivia,1
San Ignacio De M Airport,SNM,San Ignacio De M,Bolivia,1
San Ignacio De Velasco Airport,SNG,San Ignacio De Velasco,Bolivia,1
San Javier Airport,SJV,San Javier,Bolivia,1
San Joaquin Airport,SJB,San Joaquin,Bolivia,1
Independence Airport,INB,Independence,Belize,1
Manatee Airport,MZE,Manatee,Belize,1
Melinda Airport,MDB,Melinda,Belize,1
Orange Walk Airport,ORZ,Orange Walk,Belize,1
Teniente J. Gallardo Airport,PNT,Puerto Natales,Chile,1
Puerto Varas Airport,PUX,Puerto Varas,Chile,1
Puerto Williams Airport,WPU,Puerto Williams,Chile,1
Pres Ibanez Airport,PUQ,Punta Arenas,Chile,2
Arturo Merino Benitez Airport,SCL,Santiago,Chile,3
Los Cerrillos Airport,ULC,Santiago,Chile,1
Talca Airport,TLX,Talca,Chile,1
Taltal Airport,TTC,Taltal,Chile,1
Buffalo Range Airport,BFO,Buffalo Range,Zimbabwe,1
Bulawayo Airport,BUQ,Bulawayo,Zimbabwe,1
Bumi Hills Airport,BZH,Bumi Hills,Zimbabwe,1
Chipinge Airport,CHJ,Chipinge,Zimbabwe,1
Gweru Airport,GWE,Gweru,Zimbabwe,1
