Airport,ShortName,Location,Country,Size
Inus Airport,IUS,Inus,Papua New Guinea,1
Iokea Airport,IOK,Iokea,Papua New Guinea,1
Ioma Airport,IOP,Ioma,Papua New Guinea,1
Itokama Airport,ITK,Itokama,Papua New Guinea,1
Jacquinot Bay Airport,JAQ,Jacquinot Bay,Papua New Guinea,1
Josephstaal Airport,JOP,Josephstaal,Papua New Guinea,1
Kabwum Airport,KBM,Kabwum,Papua New Guinea,1
Kagi Airport,KGW,Kagi,Papua New Guinea,1
Kagua Airport,AGK,Kagua,Papua New Guinea,1
Kaiapit Airport,KIA,Kaiapit,Papua New Guinea,1
Kaintiba Airport,KZF,Kaintiba,Papua New Guinea,1
Kamberatoro Airport,KDQ,Kamberatoro,Papua New Guinea,1
Kamina Airport,KMF,Kamina,Papua New Guinea,1
Kamiraba Airport,KJU,Kamiraba,Papua New Guinea,1
Kamulai Airport,KAQ,Kamulai,Papua New Guinea,1
Kugururok River Airport,KUW,Kamusi,Papua New Guinea,1
Kanabea Airport,KEX,Kanabea,Papua New Guinea,1
Kanainj Airport,KNE,Kanainj,Papua New Guinea,1
Kandep Airport,KDP,Kandep,Papua New Guinea,1
Kandrian Airport,KDR,Kandrian,Papua New Guinea,1
Kanua Airport,KTK,Kanua,Papua New Guinea,1
Kapal Airport,KPL,Kapal,Papua New Guinea,1
Kar Airport,KAK,Kar,Papua New Guinea,1
Kar Kar Airport,KRX,Kar Kar,Papua New Guinea,1
Karato Airport,KAF,Karato,Papua New Guinea,1
Karawari Airport,KRJ,Karawari,Papua New Guinea,1
Karimui Airport,KMR,Karimui,Papua New Guinea,1
Karoola Airport,KXR,Karoola,Papua New Guinea,1
Kasanombe Airport,KSB,Kasanombe,Papua New Guinea,1
Kavieng Airport,KVG,Kavieng,Papua New Guinea,1
Kawito Airport,KWO,Kawito,Papua New Guinea,1
Keglsugl Airport,KEG,Keglsugl,Papua New Guinea,1
Kelanoa Airport,KNL,Kelanoa,Papua New Guinea,1
Kerau Airport,KRU,Kerau,Papua New Guinea,1
Kerema Airport,KMA,Kerema,Papua New Guinea,1
Kibuli Airport,KII,Kibuli,Papua New Guinea,1
Aropa Airport,KIE,Kieta,Papua New Guinea,1
Kikinonda Airport,KIZ,Kikinonda,Papua New Guinea,1
Kikori Airport,KRI,Kikori,Papua New Guinea,1
Kira Airport,KIQ,Kira,Papua New Guinea,1
Kisengan Airport,KSG,Kisengan,Papua New Guinea,1
Kitava Airport,KVE,Kitava,Papua New Guinea,1
Kiunga Airport,UNG,Kiunga,Papua New Guinea,1
Kiwai Island Airport,KWX,Kiwai Island,Papua New Guinea,1
Koinambe Airport,KMB,Koinambe,Papua New Guinea,1
Kokoda Airport,KKD,Kokoda,Papua New Guinea,1
Kokoro Airport,KOR,Kokoro,Papua New Guinea,1
Kol Airport,KQL,Kol,Papua New Guinea,1
Komaio Airport,KCJ,Komaio,Papua New Guinea,1
Komako Airport,HOC,Komako,Papua New Guinea,1
Komo-Manda Airport,KOM,Komo-Manda,Papua New Guinea,1
Kompiam Airport,KPM,Kompiam,Papua New Guinea,1
Kondubol Airport,KPF,Kondubol,Papua New Guinea,1
Konge Airport,KGB,Konge,Papua New Guinea,1
Kopiago Airport,KPA,Kopiago,Papua New Guinea,1
Koroba Airport,KDE,Koroba,Papua New Guinea,1
Kosipe Airport,KSP,Kosipe,Papua New Guinea,1
Chimbu Airport,CMU,Kundiawa,Papua New Guinea,1
Kungum Airport,KGM,Kungum,Papua New Guinea,1
Kupiano Airport,KUP,Kupiano,Papua New Guinea,1
Kuri Airport,KUQ,Kuri,Papua New Guinea,1
Kurwina Airport,KWV,Kurwina,Papua New Guinea,1
Kuyol Airport,KUX,Kuyol,Papua New Guinea,1
Lablab Airport,LAB,Lablab,Papua New Guinea,1
Nadzab Airport,LAE,Lae,Papua New Guinea,1
Laiagam Airport,LGM,Laiagam,Papua New Guinea,1
Lake Murray Airport,LMY,Lake Murray,Papua New Guinea,1
Lamassa Airport,LMG,Lamassa,Papua New Guinea,1
Langimar Airport,LNM,Langimar,Papua New Guinea,1
Lehu Airport,LHP,Lehu,Papua New Guinea,1
Leitre Airport,LTF,Leitre,Papua New Guinea,1
Lengbati Airport,LNC,Lengbati,Papua New Guinea,1
Canouan Island Airport,CIW,Canouan Island,Saint Vincent and the Grenadines,2
Mustique Airport,MQS,Mustique Island,Saint Vincent and the Grenadines,1
Palm Island Airport,PLI,Palm Island,Saint Vincent and the Grenadines,1
Bequia Airport,BQU,Port Elizabeth,Saint Vincent and the Grenadines,1
E.T. Joshua Airport,SVD,St Vincent,Saint Vincent and the Grenadines,1
Hewanorra Airport,UVF,St Lucia,Saint Lucia,3
Vigie Airport,SLU,St Lucia,Saint Lucia,2
Leron Plains Airport,LPN,Leron Plains,Papua New Guinea,1
Lese Airport,LNG,Lese,Papua New Guinea,1
Lihir Island Airport,LNV,Lihir Island,Papua New Guinea,1
Linga Linga Airport,LGN,Linga Linga,Papua New Guinea,1
Loani Airport,LNQ,Loani,Papua New Guinea,1
Long Island Airport,LSJ,Long Island,Papua New Guinea,1
Losuia Airport,LSA,Losuia,Papua New Guinea,1
Lowai Airport,LWI,Lowai,Papua New Guinea,1
Lumi Airport,LMI,Lumi,Papua New Guinea,1
Madang Airport,MAG,Madang,Papua New Guinea,1
Union Island Airport,UNI,Union Island,Saint Vincent and the Grenadines,1
Miquelon Airport,MQC,Miquelon,Saint Pierre and Miquelon,1
St Pierre Airport,FSP,St Pierre,Saint Pierre and Miquelon,1
Makini Airport,MPG,Makini,Papua New Guinea,1
Malalaua Airport,MLQ,Malalaua,Papua New Guinea,1
Malam Airport,MQO,Malam,Papua New Guinea,1
Malekolon Airport,MKN,Malekolon,Papua New Guinea,1
Mamai Airport,MAP,Mamai,Papua New Guinea,1
Manare Airport,MRM,Manare,Papua New Guinea,1
Manetai Airport,MVI,Manetai,Papua New Guinea,1
Manga Airport,MGP,Manga,Papua New Guinea,1
Manumu Airport,UUU,Manumu,Papua New Guinea,1
Momote Airport,MAS,Manus Island,Papua New Guinea,1
Mapoda Airport,MPF,Mapoda,Papua New Guinea,1
Mapua Airport,MPU,Mapua,Papua New Guinea,1
Maramuni Airport,MWI,Maramuni,Papua New Guinea,1
Marawaka Airport,MWG,Marawaka,Papua New Guinea,1
Margarima Airport,MGG,Margarima,Papua New Guinea,1
Newcastle Airport,NEV,Nevis,Saint Kitts and Nevis,2
Golden Rock Airport,SKB,St Kitts,Saint Kitts and Nevis,2
Flamingo International Airport,BON,Bonaire,Netherlands Antilles,2
Aeropuerto Hato,CUR,Curaçao,Netherlands Antilles,2
J. Yrausquin Airport,SAB,Saba Island,Netherlands Antilles,1
F D Roosevelt Airport,EUX,St Eustatius,Netherlands Antilles,1
Princess Juliana Airport,SXM,St Maarten,Netherlands Antilles,3
Maron Airport,MNP,Maron,Papua New Guinea,1
Masa Airport,MBV,Masa,Papua New Guinea,1
May River Airport,MRH,May River,Papua New Guinea,1
Mendi Airport,MDU,Mendi,Papua New Guinea,1
Menyamya Airport,MYX,Menyamya,Papua New Guinea,1
Mesalia Airport,MFZ,Mesalia,Papua New Guinea,1
Mindik Airport,MXK,Mindik,Papua New Guinea,1
Bramble Airport,MNI,Montserrat,Montserrat,1
Minj Airport,MZN,Minj,Papua New Guinea,1
Misima Island Airport,MIS,Misima Island,Papua New Guinea,1
Miyanmin Airport,MPX,Miyanmin,Papua New Guinea,1
Moki Airport,MJJ,Moki,Papua New Guinea,1
Morehead Airport,MHY,Morehead,Papua New Guinea,1
Moro Airport,MXH,Moro,Papua New Guinea,1
Morobe Airport,OBM,Morobe,Papua New Guinea,1
Mougulu Airport,GUV,Mougulu,Papua New Guinea,1
Rafael Hernández Airport,BQN,Aguadilla,Puerto Rico,2
Arecibo Airport,ARE,Arecibo,Puerto Rico,1
Culebra Airport,CPX,Culebra,Puerto Rico,1
Dorado Beach Airport,DDP,Dorado,Puerto Rico,1
Fajardo Airport,FAJ,Fajardo,Puerto Rico,1
Mount Aue Airport,UAE,Mount Aue,Papua New Guinea,1
Kagamuga Airport,HGU,Mount Hagen,Papua New Guinea,1
Munbil Airport,LNF,Munbil,Papua New Guinea,1
Munduku Airport,MDM,Munduku,Papua New Guinea,1
Mussau Airport,MWU,Mussau,Papua New Guinea,1
Nadunumu Airport,NDN,Nadunumu,Papua New Guinea,1
Namatanai Airport,ATN,Namatanai,Papua New Guinea,1
Nambaiyufa Airport,NBA,Nambaiyufa,Papua New Guinea,1
Abreojos Airport,AJS,Abreojos,Mexico,1
G. Alvarez International Airport,ACA,Acapulco,Mexico,2
Aguascalients Airport,AGU,Aguascalientes,Mexico,2
Alamos Airport,XAL,Alamos,Mexico,1
Apatzingan Airport,AZG,Apatzingan,Mexico,1
Bahia Angeles Airport,BHL,Bahia Angeles,Mexico,1
Humacao Airport,HUC,Humacao,Puerto Rico,1
Palmas Del Mar Airport,PPD,Humacao,Puerto Rico,1
Eugenio M De Hostos Airport,MAZ,Mayaguez,Puerto Rico,1
Mercedita Airport,PSE,Ponce,Puerto Rico,2
Isla Grande Airport,SIG,San Juan,Puerto Rico,1
Luis Munoz Marin International Airport,SJU,San Juan,Puerto Rico,4
Namudi Airport,NDI,Namudi,Papua New Guinea,1
Nankina Airport,NKN,Nankina,Papua New Guinea,1
Naoro Airport,NOO,Naoro,Papua New Guinea,1
Negarbo Airport,GBF,Negarbo,Papua New Guinea,1
Ningerum Airport,NGR,Ningerum,Papua New Guinea,1
Nipa Airport,NPG,Nipa,Papua New Guinea,1
Nissan Island Airport,IIS,Nissan Island,Papua New Guinea,1
Nomad River Airport,NOM,Nomad River,Papua New Guinea,1
Nomane Airport,NMN,Nomane,Papua New Guinea,1
Campeche International Airport,CPE,Campeche,Mexico,1
Cananea Airport,CNA,Cananea,Mexico,1
Cancun International Airport,CUN,Cancun,Mexico,4
Chetumal Airport,CTM,Chetumal,Mexico,1
Chichen Itza Airport,CZA,Chichen Itza,Mexico,1
Gen Fierro Villalobos Airport,CUU,Chihuahua,Mexico,2
Ciudad Acuna International Airport,ACN,Ciudad Acuna,Mexico,1
Ciudad Constitucion Airport,CUA,Ciudad Constitucion,Mexico,1
Ciudad Del Carmen Airport,CME,Ciudad Del Carmen,Mexico,1
International Abraham Gonzalez Airport,CJS,Ciudad Juarez,Mexico,1
Vieques Airport,VQS,Vieques,Puerto Rico,1
Nowata Airport,NWT,Nowata,Papua New Guinea,1
Nuguria Airport,NUG,Nuguria,Papua New Guinea,1
Nuku Airport,UKU,Nuku,Papua New Guinea,1
Nutuve Airport,NUT,Nutuve,Papua New Guinea,1
Obo Airport,OBX,Obo,Papua New Guinea,1
Ogeranang Airport,OGE,Ogeranang,Papua New Guinea,1
Okao Airport,OKV,Okao,Papua New Guinea,1
Oksapmin Airport,OKP,Oksapmin,Papua New Guinea,1
Olsobip Airport,OLQ,Olsobip,Papua New Guinea,1
Ciudad Mante Airport,MMC,Ciudad Mante,Mexico,1
Ciudad Obregon Airport,CEN,Ciudad Obregon,Mexico,1
Ciudad Victoria Airport,CVM,Ciudad Victoria,Mexico,1
Colima Airport,CLQ,Colima,Mexico,1
Copalar Airport,CJT,Comitan,Mexico,1
Omkalai Airport,OML,Omkalai,Papua New Guinea,1
Omora Airport,OSE,Omora,Papua New Guinea,1
Ononge Airport,ONB,Ononge,Papua New Guinea,1
Open Bay Airport,OPB,Open Bay,Papua New Guinea,1
Oram Airport,RAX,Oram,Papua New Guinea,1
Oria Airport,OTY,Oria,Papua New Guinea,1
Ossima Airport,OSG,Ossima,Papua New Guinea,1
Paiela Airport,PLE,Paiela,Papua New Guinea,1
Pambwa Airport,PAW,Pambwa,Papua New Guinea,1
Pangia Airport,PGN,Pangia,Papua New Guinea,1
Cozumel Airport,CZM,Cozumel,Mexico,2
Cuernavaca Airport,CVJ,Cuernavaca,Mexico,1
Federal de Bachigualato International Airport,CUL,Culiacan,Mexico,1
Guadalupe Victoria Airport,DGO,Durango,Mexico,1
Ensenada Airport,ESE,Ensenada,Mexico,1
Miguel Hidal Airport,GDL,Guadalajara,Mexico,2
Gen Jose M Yanez Airport,GYM,Guaymas,Mexico,1
Guerrero Negro Airport,GUB,Guerrero Negro,Mexico,1
Gen Pesqueira Garcia Airport,HMO,Hermosillo,Mexico,1
Huatulco Airport,HUX,Huatulco,Mexico,1
Pangoa Airport,PGB,Pangoa,Papua New Guinea,1
Param Airport,PPX,Param,Papua New Guinea,1
Pimaga Airport,PMP,Pimaga,Papua New Guinea,1
Pindiu Airport,PDI,Pindiu,Papua New Guinea,1
Girua Airport,PNP,Popondetta,Papua New Guinea,1
Porgera Airport,RGE,Porgera,Papua New Guinea,1
Jackson Field,POM,Port Moresby,Papua New Guinea,1
Puas Airport,PUA,Puas,Papua New Guinea,1
Pumani Airport,PMN,Pumani,Papua New Guinea,1
Pureni Airport,PUI,Pureni,Papua New Guinea,1
Isla Mujeres Airport,ISJ,Isla Mujeres,Mexico,1
Internacional Airport,ZIH,Ixtapa/Zihuatanejo,Mexico,2
Ixtepec Airport,IZT,Ixtepec,Mexico,1
Jalapa Airport,JAL,Jalapa,Mexico,1
Leon Airport,LAP,La Paz,Mexico,1
Rabaraba Airport,RBP,Rabaraba,Papua New Guinea,1
Tokua Airport,RAB,Rabaul,Papua New Guinea,1
Rakanda Airport,RAA,Rakanda,Papua New Guinea,1
Robinson River Airport,RNR,Robinson River,Papua New Guinea,1
Rumginae Airport,RMN,Rumginae,Papua New Guinea,1
Ruti Airport,RUU,Ruti,Papua New Guinea,1
Sabah Airport,SBV,Sabah,Papua New Guinea,1
Safia Airport,SFU,Safia,Papua New Guinea,1
Francisco P. V. y R. Airport,LOM,Lagos de Moreno,Mexico,1
Lazaro Cardenas Airport,LZC,Lazaro Cardenas,Mexico,1
Del Bajio Airport,BJX,Leon/Guanajuato,Mexico,2
Loreto Airport,LTO,Loreto,Mexico,1
Federal Airport,LMM,Los Mochis,Mexico,1
Manzanillo Airport,ZLO,Manzanillo,Mexico,1
Sagarai Airport,SGJ,Sagarai,Papua New Guinea,1
Saidor Airport,SDI,Saidor,Papua New Guinea,1
Salamo Airport,SAM,Salamo,Papua New Guinea,1
China Straits Airstrip,SQT,Samarai Island,Papua New Guinea,1
Sangapi Airport,SGK,Sangapi,Papua New Guinea,1
Sapmanga Airport,SMH,Sapmanga,Papua New Guinea,1
Sasereme Airport,TDS,Sasereme,Papua New Guinea,1
Satwag Airport,SWG,Satwag,Papua New Guinea,1
Sauren Airport,SXW,Sauren,Papua New Guinea,1
Sehulea Airport,SXH,Sehulea,Papua New Guinea,1
Matamoros Airport,MAM,Matamoros,Mexico,1
Gen Rafael Buelna Airport,MZT,Mazatlan,Mexico,1
Rejon Airport,MID,Merida,Mexico,1
Mexicali Airport,MXL,Mexicali,Mexico,1
Atizapan Airport,AZP,Mexico City,Mexico,1
Juarez International Airport,MEX,Mexico City,Mexico,4
Selbang Airport,SBC,Selbang,Papua New Guinea,1
Sepik Plains Airport,SPV,Sepik Plains,Papua New Guinea,1
Sialum Airport,SXA,Sialum,Papua New Guinea,1
Santa Lucia Airport,NLU,Mexico City,Mexico,1
Minatitlan Airport,MTT,Minatitlan,Mexico,1
Monclova Airport,LOV,Monclova,Mexico,1
Aeropuerto Del Norte Airport,NTR,Monterrey,Mexico,1
Gen Mariano Escobedo Airport,MTY,Monterrey,Mexico,2
Morelia Airport,MLM,Morelia,Mexico,1
Mulege Airport,MUG,Mulege,Mexico,1
Nogales Airport,NOG,Nogales,Mexico,1
Nueva Casas Grandes Airport,NCG,Nueva Casas Grandes,Mexico,1
Siassi Airport,SSS,Siassi,Papua New Guinea,1
Sila Airport,SIL,Sila,Papua New Guinea,1
Silur Airport,SWR,Silur,Papua New Guinea,1
Sim Airport,SMJ,Sim,Papua New Guinea,1
Simbai Airport,SIM,Simbai,Papua New Guinea,1
Simberi Airport,NIS,Simberi Island,Papua New Guinea,1
Singaua Airport,SGB,Singaua,Papua New Guinea,1
Sissano Airport,SIZ,Sissano,Papua New Guinea,1
Siwea Airport,SWE,Siwea,Papua New Guinea,1
International Quetzalcoatl Airport,NLD,Nuevo Laredo,Mexico,1
Xoxocotlan Airport,OAX,Oaxaca,Mexico,1
Palenque Airport,PQM,Palenque,Mexico,1
Lamentin Airport,FDF,Fort De France,Martinique,2
Norman Manley Airport,KIN,Kingston,Jamaica,2
Tinson Airport,KTP,Kingston,Jamaica,1
Marlboro Airport,MVJ,Mandeville,Jamaica,1
Sangster International Airport,MBJ,Montego Bay,Jamaica,4
Negril Airport,NEG,Negril,Jamaica,1
Boscobel Airport,OCJ,Ocho Rios,Jamaica,1
Ken Jones Airport,POT,Port Antonio,Jamaica,1
Sopu Airport,SPH,Sopu,Papua New Guinea,1
Stockholm Airport,SMP,Stockholm,Papua New Guinea,1
Suabi Airport,SBE,Suabi,Papua New Guinea,1
Suki Airport,SKC,Suki,Papua New Guinea,1
Sule Airport,ULE,Sule,Papua New Guinea,1
Suria Airport,SUZ,Suria,Papua New Guinea,1
Tabibuga Airport,TBA,Tabibuga,Papua New Guinea,1
Tabubil Airport,TBG,Tabubil,Papua New Guinea,1
Cap Haitien Airport,CAP,Cap Haitien,Haiti,1
Jacmel Airport,JAK,Jacmel,Haiti,1
Jeremie Airport,JEE,Jeremie,Haiti,1
Les Cayes Airport,CYA,Les Cayes,Haiti,1
Piedras Negras Airport,PDS,Piedras Negras,Mexico,1
Pinotepa Nacional Airport,PNO,Pinotepa Nacional,Mexico,1
Playa del Carmen Airport,PCM,Playa del Carmen,Mexico,1
Pochutla Airport,PUH,Pochutla,Mexico,1
Tajin Airport,PAZ,Poza Rica,Mexico,1
Huejotsingo Airport,PBC,Puebla,Mexico,1
Puerto Escondido Airport,PXM,Puerto Escondido,Mexico,1
Puerto Juarez Airport,PJZ,Puerto Juarez,Mexico,1
Puerto Penasco Airport,PPE,Puerto Penasco,Mexico,1
Ordaz Airport,PVR,Puerto Vallarta,Mexico,2
Tagula Airport,TGL,Tagula,Papua New Guinea,1
Talasea Airport,TLW,Talasea,Papua New Guinea,1
Tapini Airport,TPI,Tapini,Papua New Guinea,1
Tarabo Airport,TBQ,Tarabo,Papua New Guinea,1
Tarakbits Airport,TRJ,Tarakbits,Papua New Guinea,1
Tari Airport,TIZ,Tari,Papua New Guinea,1
Taskul Airport,TSK,Taskul,Papua New Guinea,1
Tauta Airport,TUT,Tauta,Papua New Guinea,1
Tawa Airport,TWY,Tawa,Papua New Guinea,1
Tekadu Airport,TKB,Tekadu,Papua New Guinea,1
Mais Gate Airport,PAP,Port Au Prince,Haiti,2
Port De Paix Airport,PAX,Port De Paix,Haiti,1
Punta Chivato Airport,PCV,Punta Chivato,Mexico,1
Punta Colorada Airport,PCO,Punta Colorada,Mexico,1
Queretaro Airport,QRO,Queretaro,Mexico,1
Gen Lucio Blanco Airport,REX,Reynosa,Mexico,1
San Cristobal Airport,SZT,S.Cristobal deL Casas,Mexico,1
Salina Cruz Airport,SCX,Salina Cruz,Mexico,1
Saltillo Airport,SLW,Saltillo,Mexico,1
San Felipe Airport,SFH,San Felipe,Mexico,1
Baillif Airport,BBR,Basse Terre,Guadeloupe,1
La Desirade Airport,DSD,La Desirade,Guadeloupe,1
Les Bases Airport,GBJ,Marie Galante,Guadeloupe,1
Le Raizet Airport,PTP,Pointe-a-Pitre,Guadeloupe,2
St Barthelemy Airport,SBH,St Barthelemy,Guadeloupe,1
St Francois Airport,SFC,St Francois,Guadeloupe,1
Esperance Airport,SFG,St Martin,Guadeloupe,1
Grand Case Airport,CCE,St Martin,Guadeloupe,1
Tekin Airport,TKW,Tekin,Papua New Guinea,1
Telefomin Airport,TFM,Telefomin,Papua New Guinea,1
Teptep Airport,TEP,Teptep,Papua New Guinea,1
Terapo Airport,TEO,Terapo,Papua New Guinea,1
Tetabedi Airport,TDB,Tetabedi,Papua New Guinea,1
Tifalmin Airport,TFB,Tifalmin,Papua New Guinea,1
Timbunke Airport,TBE,Timbunke,Papua New Guinea,1
Tinboli Airport,TCK,Tinboli,Papua New Guinea,1
Tingwon Airport,TIG,Tingwon,Papua New Guinea,1
Tol Airport,TLO,Tol,Papua New Guinea,1
Barahona Airport,BRX,Barahona,Dominican Republic,1
Cabo Rojo Airport,CBJ,Cabo Rojo,Dominican Republic,1
Constanza Airport,COZ,Constanza,Dominican Republic,1
El Portillo Airport,EPS,El Portillo/Samana,Dominican Republic,1
La Romana Airport,LRM,La Romana,Dominican Republic,2
La Union Airport,POP,Puerto Plata,Dominican Republic,2
Punta Cana Airport,PUJ,Punta Cana,Dominican Republic,4
Sabana De Mar Airport,SNX,Sabana De Mar,Dominican Republic,1
San Ignacio Airport,SGM,San Ignacio,Mexico,1
Los Cabos Airport,SJD,San Jose Cabo,Mexico,2
San Luis Potosi Airport,SLP,San Luis Potosi,Mexico,2
San Luis Rio Colorado Airport,UAC,San Luis Rio Colorado,Mexico,1
San Quintin Airport,SNQ,San Quintin,Mexico,1
Santa Rosalia Airport,SRL,Santa Rosalia,Mexico,1
Gen F Javier Mina Airport,TAM,Tampico,Mexico,1
Tamuin Airport,TSL,Tamuin,Mexico,1
Carriacou Is Airport,CRU,Carriacou Is,Grenada,1
Maurice Bishop (Point Saline) International Airport,GND,Grenada,Grenada,2
Marigot Seaplane Base,MSB,St Martin,Guadeloupe,1
Terre-de-Bas Airport,HTB,Terre-de-Bas,Guadeloupe,1
Terre-de-Haut Airport,LSS,Terre-de-Haut,Guadeloupe,1
Tonu Airport,TON,Tonu,Papua New Guinea,1
Torembi Airport,TCJ,Torembi,Papua New Guinea,1
Torokina Airport,TOK,Torokina,Papua New Guinea,1
Tsewi Airport,TSW,Tsewi,Papua New Guinea,1
Tsili Tsili Airport,TSI,Tsili Tsili,Papua New Guinea,1
Tufi Airport,TFI,Tufi,Papua New Guinea,1
Tumolbil Airport,TLP,Tumolbil,Papua New Guinea,1
Umba Airport,UMC,Umba,Papua New Guinea,1
Aasiaat Airport,JEG,Aasiaat,Greenland,1
Alluitsup Paa Airport,LLU,Alluitsup Paa,Greenland,1
Arsuk Airport,JRK,Arsuk,Greenland,1
Dundas Airport,DUN,Dundas,Greenland,1
Harbour Airport,XIQ,Ilimanaq,Greenland,1
Ilulissat Airport,JAV,Ilulissat,Greenland,1
Ittoqqortoormiit Airport,OBY,Ittoqqortoormiit,Greenland,1
Kangerlussuaq Airport,SFJ,Kangerlussuaq,Greenland,1
Kulusuk Airport,KUS,Kulusuk,Greenland,1
Cane Field,DCF,Dominica,Dominica,1
Melville Hall Airport,DOM,Dominica,Dominica,2
San Juan Airport,SJM,San Juan,Dominican Republic,1
Municipal Airport,STI,Santiago,Dominican Republic,2
Herrera International Airport,HEX,Santo Domingo,Dominican Republic,1
La Isabela International Airport,JBQ,Santo Domingo,Dominican Republic,1
Tapachula International Airport,TAP,Tapachula,Mexico,1
Tehuacan Airport,TCN,Tehuacan,Mexico,1
Tepic Airport,TPQ,Tepic,Mexico,1
Rodriguez Airport,TIJ,Tijuana,Mexico,1
Tizimin Airport,TZM,Tizimin,Mexico,1
Toluca Airport,TLC,Toluca,Mexico,1
Torreon Airport,TRC,Torreon,Mexico,2
Upiara Airport,UPR,Upiara,Papua New Guinea,1
Uroubi Airport,URU,Uroubi,Papua New Guinea,1
Usino Airport,USO,Usino,Papua New Guinea,1
Uvol Airport,UVO,Uvol,Papua New Guinea,1
Vanimo Airport,VAI,Vanimo,Papua New Guinea,1
Vivigani Airport,VIV,Vivigani,Papua New Guinea,1
Wabag Airport,WAB,Wabag,Papua New Guinea,1
Wabo Airport,WAO,Wabo,Papua New Guinea,1
Wagau Airport,WGU,Wagau,Papua New Guinea,1
Nanortalik Airport,JNN,Nanortalik,Greenland,1
Narsarsuaq Airport,UAK,Narsarsuaq,Greenland,1
Neerlerit Inaat Airport,CNP,Neerlerit Inaat,Greenland,1
Nuuk Airport,GOH,Nuuk,Greenland,1
Harbour Airport,XEO,Oqatsut,Greenland,1
Paamiut Airport,JFR,Paamiut,Greenland,1
Pituffik Airport,THU,Pituffik,Greenland,1
Qaanaaq Airport,NAQ,Qaanaaq,Greenland,1
Qaarsut Airport,JQA,Qaarsut,Greenland,1
Qasigiannguit Airport,JCH,Qasigiannguit,Greenland,1
Qeqertarsuaq Airport,JGO,Qeqertarsuaq,Greenland,1
Tulum Airport,TUY,Tulum,Mexico,1
Llano San Juan Airport,TGZ,Tuxtla Gutierrez,Mexico,1
Uruapan Airport,UPN,Uruapan,Mexico,1
Las Bajadas Airport,VER,Veracruz,Mexico,1
Villa Constitucion Airport,VIB,Villa Constitucion,Mexico,1
Capitan Carlos Perez Airport,VSA,Villahermosa,Mexico,1
Wakunai Airport,WKN,Wakunai,Papua New Guinea,1
Wanigela Airport,AGL,Wanigela,Papua New Guinea,1
Wantoat Airport,WTT,Wantoat,Papua New Guinea,1
Wanuma Airport,WNU,Wanuma,Papua New Guinea,1
Wapenamanda Airport,WBM,Wapenamanda,Papua New Guinea,1
Wasu Airport,WSU,Wasu,Papua New Guinea,1
Wasua Airport,WSA,Wasua,Papua New Guinea,1
Wasum Airport,WUM,Wasum,Papua New Guinea,1
Sisimiut Airport,JHS,Sisimiut,Greenland,1
Tasiilaq Airport,AGM,Tasiilaq,Greenland,1
Harbour Airport,XEQ,Tasiuasaq,Greenland,1
Uummannaq Airport,UMD,Uummannaq,Greenland,1
La Calera Airport,ZCL,Zacatecas,Mexico,1
Zamora Airport,ZMM,Zamora,Mexico,1
Wau Airport,WUG,Wau,Papua New Guinea,1
Wawoi Falls Airport,WAJ,Wawoi Falls,Papua New Guinea,1
Weam Airport,WEP,Weam,Papua New Guinea,1
Wedau Airport,WED,Wedau,Papua New Guinea,1
Boram Airport,WWK,Wewak,Papua New Guinea,1
Wipim Airport,WPM,Wipim,Papua New Guinea,1
Witu Airport,WIU,Witu,Papua New Guinea,1
Woitape Airport,WTP,Woitape,Papua New Guinea,1
Wonenara Airport,WOA,Wonenara,Papua New Guinea,1
Wuvulu Is Airport,WUV,Wuvulu Is,Papua New Guinea,1
Yalumet Airport,KYX,Yalumet,Papua New Guinea,1
Yapsiei Airport,KPE,Yapsiei,Papua New Guinea,1
Yasuru Airport,KSX,Yasuru,Papua New Guinea,1
Yegepa Airport,PGE,Yegepa,Papua New Guinea,1
Yellow River Airport,XYR,Yellow River,Papua New Guinea,1
Yenkis Airport,YEQ,Yenkis,Papua New Guinea,1
Yeva Airport,YVD,Yeva,Papua New Guinea,1
Yongai Airport,KGH,Yongai,Papua New Guinea,1
Kairuku Airport,RKU,Yule Island,Papua New Guinea,1
Zenag Airport,ZEN,Zenag,Papua New Guinea,1
Baracoa Airport,BCA,Baracoa,Cuba,1
C.M. de Cespedes Airport,BYM,Bayamo,Cuba,1
Ign Agramonte International Airport,CMW,Camaguey,Cuba,1
Cayo Coco Airport,CCC,Cayo Coco,Cuba,2
Cayo Largo Del Sur Airport,CYO,Cayo Largo Del Sur,Cuba,2
Maximo Gomez Airport,AVI,Ciego De Avila,Cuba,1
Gerrard-Smith Airport,CYB,Cayman Brac Is,Cayman Islands,1
Owen Roberts International Airport,GCM,Grand Cayman Island,Cayman Islands,2
Little Cayman Airport,LYB,Little Cayman,Cayman Islands,1
Cienfuegos Airport,CFG,Cienfuegos,Cuba,1
Los Canos Airport,GAO,Guantanamo,Cuba,1
Jose Marti International Airport,HAV,Havana,Cuba,3
Playa Baracoa Airport,UPB,Havana,Cuba,1
Frank Pais Airport,HOG,Holguin,Cuba,2
La Coloma Airport,LCL,La Coloma,Cuba,1
Las Tunas Airport,VTU,Las Tunas,Cuba,1
Sierra Maestra Airport,MZO,Manzanillo,Cuba,1
Kawama Airport,VRO,Matanzas,Cuba,1
